no,title,link,thumbnail,sizeheight,sizewidth
1,"[포토] 소디엑 웨인, 매럭적인 중저음의 소유자",http://imgnews.naver.net/image/408/2023/04/25/0000186911_001_20230425180901363.jpg,https://search.pstatic.net/common/?type=b150&src=http://imgnews.naver.net/image/408/2023/04/25/0000186911_001_20230425180901363.jpg,1067,800
2,"[포토]소디엑 웨인, 이것이 시그니처 포즈",http://imgnews.naver.net/image/018/2023/04/25/0005471906_001_20230425164922138.jpg,https://search.pstatic.net/common/?type=b150&src=http://imgnews.naver.net/image/018/2023/04/25/0005471906_001_20230425164922138.jpg,519,670
3,"[포토S] 소디엑 웨인, '서울패션위크 왔어요'",http://imgnews.naver.net/image/477/2024/02/02/0000471888_001_20240202192804789.jpg,https://search.pstatic.net/common/?type=b150&src=http://imgnews.naver.net/image/477/2024/02/02/0000471888_001_20240202192804789.jpg,1259,900
4,"소디엑 웨인, 카리스마 래퍼",http://imgnews.naver.net/image/5359/2023/04/26/0000417830_002_20230426015601888.jpg,https://search.pstatic.net/common/?type=b150&src=http://imgnews.naver.net/image/5359/2023/04/26/0000417830_002_20230426015601888.jpg,1440,960
5,[포토] 소디엑(XODIAC) 웨인 '힙한 매력 물씬',http://imgnews.naver.net/image/5575/2024/03/14/0000457692_001_20240314085403318.jpg,https://search.pstatic.net/common/?type=b150&src=http://imgnews.naver.net/image/5575/2024/03/14/0000457692_001_20240314085403318.jpg,709,500
6,웨인(XODIAC) - 나무위키 웨인(XODIAC),https://i.namu.wiki/i/oH40LRVCh0exKpQnpqOi3NM6-0mh8RiphYo0xbxuwFSFwLy0DB9-txGC76ul4Lf8V1Fxq94tG4yPxk_0_VZGoQ.webp,https://search.pstatic.net/sunny/?type=b150&src=https://i.namu.wiki/i/oH40LRVCh0exKpQnpqOi3NM6-0mh8RiphYo0xbxuwFSFwLy0DB9-txGC76ul4Lf8V1Fxq94tG4yPxk_0_VZGoQ.webp,1499,1000
7,소디엑 웨인 '대체불가 존재감'[★포토],http://imgnews.naver.net/image/108/2024/03/22/0003222812_004_20240322125802301.jpg,https://search.pstatic.net/common/?type=b150&src=http://imgnews.naver.net/image/108/2024/03/22/0003222812_004_20240322125802301.jpg,1536,1024
8,"소디엑 규민-현식-웨인, 포토 공개! 新 패션루키 탄생",http://imgnews.naver.net/image/5575/2023/04/16/0000370917_002_20230416080603109.jpg,https://search.pstatic.net/common/?type=b150&src=http://imgnews.naver.net/image/5575/2023/04/16/0000370917_002_20230416080603109.jpg,361,600
9,"글로벌 신예 아이돌 그룹 '소디엑'(XODIAC), 13일 프리데뷔 확정",http://imgnews.naver.net/image/312/2023/03/08/0000599988_001_20230308090301334.jpg,https://search.pstatic.net/common/?type=b150&src=http://imgnews.naver.net/image/312/2023/03/08/0000599988_001_20230308090301334.jpg,967,630
10,Xodiac's Wain 웨인 소디엑 in 2023,https://i.pinimg.com/originals/08/12/ff/0812ff7e2469b6b4f427094cecce4b76.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://i.pinimg.com/originals/08/12/ff/0812ff7e2469b6b4f427094cecce4b76.jpg,2048,1151
