no,title,link
0, 차정우 '고민' [26th JIFF] ,http://v.daum.net/v/20250503171126569
1," '추영우 동생' 차정우, 생애 첫 화보 맞나…훈훈美 터졌다 ",http://v.daum.net/v/20250310110518381
2," 차정우, 소년미부터 카리스마까지…친형 추영우 똑닮은 얼굴 [화보] ",http://v.daum.net/v/20250310133025186
3, 박보영이 박보영으로 산다?... '1인 2역'이 시청자 홀리는 법 ,http://v.daum.net/v/20250527090007461
4," ‘화보 천재’ 등장!…차정우, 첫 화보로 시선 강탈, 감성+카리스마 폭발 ",http://v.daum.net/v/20250309094757733
5," 차정우, 처음 찍는 거 맞아? 이 정도면 화보 천재네 ",http://v.daum.net/v/20250310195214408
6, 추영우 친동생도 뜰까? 차정우 ‘비밀 사이’ 전세계 동시 공개 ,http://v.daum.net/v/20250227115642473
7," ‘옥씨부인전’ 추영우 “동생 차정우 대역 연기, 실제 내 연기보다 더 떨려”[미니인터뷰 ③] ",http://v.daum.net/v/20250205085809532
8," '옥씨부인전' 임지연 ""추영우, 망하겠다 싶었는데 기특…동생 차정우? 놀라웠다"" [인터뷰③] ",http://v.daum.net/v/20250127082523581
9," 핫한 추영우 친동생은 배우 차정우, ‘옥씨부인전’ 대역도 “너무 똑같아” ",http://v.daum.net/v/20241218150746954
10," '옥씨부인전' 추영우, 1인 2역의 비밀…'대역' 친동생 차정우 있었다[초점S] ",http://v.daum.net/v/20241218110006190
11," [단독] 추영우, 알고보니 톱모델 추승일 아들...동생 차정우까지 187cm 피지컬 집안 (종합) ",http://v.daum.net/v/20250109110455578
12," 추영우·동생 차정우, 우월 유전자 이유 있었네..알고보니 90년대 톱모델 추승일 아들 [Oh!쎈 이슈] ",http://v.daum.net/v/20250109223921097
13," '옥씨부인전' 추영우 ""동생 차정우, 성 바꾼 이유는…"" [인터뷰 맛보기] ",http://v.daum.net/v/20250205080806322
14," ""목소리도 비슷"" 추영우 친동생=배우 차정우..'옥씨부인전' 대역이었다[Oh!쎈 이슈] ",http://v.daum.net/v/20241218182941757
15," 카카오엔터 웹툰 ‘비밀 사이’ 드라마, 웹소설, OST 등 성공적 IP 확장···김준서, 차선형, 차정우, 김호영 출연 ‘실사판’도 인기 ",http://v.daum.net/v/20250227220930572
16," ‘페이스미’ 이민기, “‘차정우’ 고마운 역할... 많이 배웠다” 종영 소감 ",http://v.daum.net/v/20241213170602423
17," '임지연♥' 추영우, 1인 2역 ""너무 똑같다"" 했더니…친동생 배우 차정우였다 [엑's 이슈] ",http://v.daum.net/v/20241219113021110
18," 전주국제영화제, 궂은 날씨 속 반환점 넘어 후반부로 [26th JIFF] ",http://v.daum.net/v/20250506094805793
19," 신예 차정우, ‘비밀사이’ 주연 발탁·저스트엔터테인먼트 전속계약 겹경사 ",http://v.daum.net/v/20241108183958974
