index,지역명,연도,월,평당분양가격,전용면적
0,서울,2015,10,19275.3,모든면적
1,서울,2015,10,18651.6,60m²
2,서울,2015,10,19410.6,60m²~85m²
3,서울,2015,10,18879.3,85m²~102m²
4,서울,2015,10,19400.7,102m²~
5,인천,2015,10,10437.9,모든면적
6,인천,2015,10,11510.4,60m²
7,인천,2015,10,10292.699999999999,60m²~85m²
8,인천,2015,10,11698.5,85m²~102m²
9,인천,2015,10,11246.4,102m²~
10,경기,2015,10,10355.4,모든면적
11,경기,2015,10,10315.8,60m²
12,경기,2015,10,10688.699999999999,60m²~85m²
13,경기,2015,10,11536.8,85m²~102m²
14,경기,2015,10,12144.0,102m²~
15,부산,2015,10,10269.599999999999,모든면적
16,부산,2015,10,9735.0,60m²
17,부산,2015,10,9896.699999999999,60m²~85m²
18,부산,2015,10,9758.1,85m²~102m²
19,부산,2015,10,11550.0,102m²~
20,대구,2015,10,8850.6,모든면적
21,대구,2015,10,8626.199999999999,60m²
22,대구,2015,10,8896.8,60m²~85m²
23,대구,2015,10,8438.1,85m²~102m²
24,대구,2015,10,8573.4,102m²~
25,광주,2015,10,7986.0,모든면적
26,광주,2015,10,7434.9,60m²
27,광주,2015,10,8048.7,60m²~85m²
28,광주,2015,10,,85m²~102m²
29,광주,2015,10,,102m²~
30,대전,2015,10,8098.2,모든면적
31,대전,2015,10,8530.5,60m²
32,대전,2015,10,8012.4,60m²~85m²
33,대전,2015,10,8121.299999999999,85m²~102m²
34,대전,2015,10,,102m²~
35,울산,2015,10,10074.9,모든면적
36,울산,2015,10,7992.599999999999,60m²
37,울산,2015,10,10032.0,60m²~85m²
38,울산,2015,10,9738.3,85m²~102m²
39,울산,2015,10,8877.0,102m²~
40,세종,2015,10,8718.6,모든면적
41,세종,2015,10,8487.6,60m²
42,세종,2015,10,8768.1,60m²~85m²
43,세종,2015,10,8725.199999999999,85m²~102m²
44,세종,2015,10,8883.6,102m²~
45,강원,2015,10,7151.099999999999,모든면적
46,강원,2015,10,7543.799999999999,60m²
47,강원,2015,10,7299.599999999999,60m²~85m²
