idx,지역명,규모구분,연도,월,분양가격(제곱미터),자릿수
0,서울,모든면적,2015,10,"5,841",4
1,서울,전용면적 60제곱미터이하,2015,10,5652,4
2,서울,전용면적 60제곱미터초과 85제곱미터이하,2015,10,5882,4
3,서울,전용면적 85제곱미터초과 102제곱미터이하,2015,10,5721,4
4,서울,전용면적 102제곱미터초과,2015,10,5879,4
5,인천,모든면적,2015,10,"3,163",4
6,인천,전용면적 60제곱미터이하,2015,10,3488,4
7,인천,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3119,4
8,인천,전용면적 85제곱미터초과 102제곱미터이하,2015,10,3545,4
9,인천,전용면적 102제곱미터초과,2015,10,3408,4
10,경기,모든면적,2015,10,"3,138",4
11,경기,전용면적 60제곱미터이하,2015,10,3126,4
12,경기,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3239,4
13,경기,전용면적 85제곱미터초과 102제곱미터이하,2015,10,3496,4
14,경기,전용면적 102제곱미터초과,2015,10,3680,4
15,부산,모든면적,2015,10,"3,112",4
16,부산,전용면적 60제곱미터이하,2015,10,2950,4
17,부산,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2999,4
18,부산,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2957,4
19,부산,전용면적 102제곱미터초과,2015,10,3500,4
20,대구,모든면적,2015,10,"2,682",4
21,대구,전용면적 60제곱미터이하,2015,10,2614,4
22,대구,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2696,4
23,대구,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2557,4
24,대구,전용면적 102제곱미터초과,2015,10,2598,4
25,광주,모든면적,2015,10,"2,420",4
26,광주,전용면적 60제곱미터이하,2015,10,2253,4
27,광주,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2439,4
28,광주,전용면적 85제곱미터초과 102제곱미터이하,2015,10,  ,0
29,광주,전용면적 102제곱미터초과,2015,10,  ,0
30,대전,모든면적,2015,10,"2,454",4
31,대전,전용면적 60제곱미터이하,2015,10,2585,4
32,대전,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2428,4
33,대전,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2461,4
34,대전,전용면적 102제곱미터초과,2015,10,  ,0
35,울산,모든면적,2015,10,"3,053",4
36,울산,전용면적 60제곱미터이하,2015,10,2422,4
37,울산,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3040,4
38,울산,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2951,4
39,울산,전용면적 102제곱미터초과,2015,10,2690,4
40,세종,모든면적,2015,10,"2,642",4
41,세종,전용면적 60제곱미터이하,2015,10,2572,4
42,세종,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2657,4
43,세종,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2644,4
44,세종,전용면적 102제곱미터초과,2015,10,2692,4
45,강원,모든면적,2015,10,"2,167",4
46,강원,전용면적 60제곱미터이하,2015,10,2286,4
47,강원,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2212,4
48,강원,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2061,4
49,강원,전용면적 102제곱미터초과,2015,10,2171,4
50,충북,모든면적,2015,10,"2,032",4
51,충북,전용면적 60제곱미터이하,2015,10,1919,4
52,충북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2033,4
53,충북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2102,4
54,충북,전용면적 102제곱미터초과,2015,10,2369,4
55,충남,모든면적,2015,10,"2,099",4
56,충남,전용면적 60제곱미터이하,2015,10,2206,4
57,충남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2101,4
58,충남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2743,4
59,충남,전용면적 102제곱미터초과,2015,10,2442,4
60,전북,모든면적,2015,10,"2,054",4
61,전북,전용면적 60제곱미터이하,2015,10,2127,4
62,전북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2056,4
63,전북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2377,4
64,전북,전용면적 102제곱미터초과,2015,10,2250,4
65,전남,모든면적,2015,10,"1,925",4
66,전남,전용면적 60제곱미터이하,2015,10,1999,4
67,전남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,1922,4
68,전남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2262,4
69,전남,전용면적 102제곱미터초과,2015,10,2292,4
70,경북,모든면적,2015,10,"2,148",4
71,경북,전용면적 60제곱미터이하,2015,10,2204,4
72,경북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2145,4
73,경북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2308,4
74,경북,전용면적 102제곱미터초과,2015,10,2222,4
75,경남,모든면적,2015,10,"2,291",4
76,경남,전용면적 60제곱미터이하,2015,10,2239,4
77,경남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2305,4
78,경남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2890,4
79,경남,전용면적 102제곱미터초과,2015,10,3014,4
80,제주,모든면적,2015,10,"2,232",4
81,제주,전용면적 60제곱미터이하,2015,10,  ,0
82,제주,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2225,4
83,제주,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2583,4
84,제주,전용면적 102제곱미터초과,2015,10,2574,4
85,서울,모든면적,2015,11,"6,050",4
86,서울,전용면적 60제곱미터이하,2015,11,6320,4
87,서울,전용면적 60제곱미터초과 85제곱미터이하,2015,11,5964,4
88,서울,전용면적 85제곱미터초과 102제곱미터이하,2015,11,7092,4
89,서울,전용면적 102제곱미터초과,2015,11,6551,4
90,인천,모든면적,2015,11,"3,184",4
91,인천,전용면적 60제곱미터이하,2015,11,3328,4
92,인천,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3119,4
93,인천,전용면적 85제곱미터초과 102제곱미터이하,2015,11,3545,4
94,인천,전용면적 102제곱미터초과,2015,11,3408,4
95,경기,모든면적,2015,11,"3,098",4
96,경기,전용면적 60제곱미터이하,2015,11,3079,4
97,경기,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3202,4
98,경기,전용면적 85제곱미터초과 102제곱미터이하,2015,11,3391,4
99,경기,전용면적 102제곱미터초과,2015,11,3724,4
100,부산,모든면적,2015,11,"3,131",4
101,부산,전용면적 60제곱미터이하,2015,11,2982,4
102,부산,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3037,4
103,부산,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2957,4
104,부산,전용면적 102제곱미터초과,2015,11,3739,4
105,대구,모든면적,2015,11,"2,749",4
106,대구,전용면적 60제곱미터이하,2015,11,2503,4
107,대구,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2806,4
108,대구,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2557,4
109,대구,전용면적 102제곱미터초과,2015,11,2743,4
110,광주,모든면적,2015,11,"2,424",4
111,광주,전용면적 60제곱미터이하,2015,11,2251,4
112,광주,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2444,4
113,광주,전용면적 85제곱미터초과 102제곱미터이하,2015,11,  ,0
114,광주,전용면적 102제곱미터초과,2015,11,  ,0
115,대전,모든면적,2015,11,"2,454",4
116,대전,전용면적 60제곱미터이하,2015,11,2585,4
117,대전,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2428,4
118,대전,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2461,4
119,대전,전용면적 102제곱미터초과,2015,11,  ,0
120,울산,모든면적,2015,11,"3,043",4
121,울산,전용면적 60제곱미터이하,2015,11,2584,4
122,울산,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3048,4
123,울산,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2663,4
124,울산,전용면적 102제곱미터초과,2015,11,2874,4
125,세종,모든면적,2015,11,"2,648",4
126,세종,전용면적 60제곱미터이하,2015,11,2572,4
127,세종,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2666,4
128,세종,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2644,4
129,세종,전용면적 102제곱미터초과,2015,11,2749,4
130,강원,모든면적,2015,11,"2,171",4
131,강원,전용면적 60제곱미터이하,2015,11,2292,4
132,강원,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2193,4
133,강원,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2061,4
134,강원,전용면적 102제곱미터초과,2015,11,2171,4
